"","module"
"TSPAN6|ENSG00000000003.15","brown"
"METTL14|ENSG00000145388.15","brown"
"USP53|ENSG00000145390.12","brown"
"SETD7|ENSG00000145391.14","brown"
"NAF1|ENSG00000145414.9","yellow"
"MARCHF1|ENSG00000145416.14","brown"
"SFRP2|ENSG00000145423.5","turquoise"
"RPS3A|ENSG00000145425.10","blue"
"RNF175|ENSG00000145428.15","yellow"
"PDGFC|ENSG00000145431.11","brown"
"CBR4|ENSG00000145439.12","brown"
"GLRA3|ENSG00000145451.13","yellow"
"CYP4V2|ENSG00000145476.16","brown"
"ROPN1L|ENSG00000145491.12","yellow"
"NDUFS6|ENSG00000145494.12","midnightblue"
"MARCHF6|ENSG00000145495.16","blue"
"NKD2|ENSG00000145506.14","black"
"CDH18|ENSG00000145526.12","yellow"
"ADAMTS16|ENSG00000145536.15","green"
"SRD5A1|ENSG00000145545.12","yellow"
"MYO10|ENSG00000145555.15","brown"
"OTULINL|ENSG00000145569.6","blue"
"RPL37|ENSG00000145592.14","blue"
"SKP2|ENSG00000145604.17","brown"
"OSMR|ENSG00000145623.13","darkred"
"PLK2|ENSG00000145632.15","yellow"
"PIK3R1|ENSG00000145675.16","blue"
"HAPLN1|ENSG00000145681.11","yellow"
"LHFPL2|ENSG00000145685.14","greenyellow"
"SSBP2|ENSG00000145687.17","blue"
"BHMT|ENSG00000145692.15","grey"
"ANKRD31|ENSG00000145700.10","brown"
"IQGAP2|ENSG00000145703.17","grey"
"CRHBP|ENSG00000145708.11","midnightblue"
"RASA1|ENSG00000145715.15","blue"
"LIX1|ENSG00000145721.12","darkgreen"
"GIN1|ENSG00000145723.17","brown"
"PPIP5K2|ENSG00000145725.21","blue"
"PAM|ENSG00000145730.21","blue"
"BDP1|ENSG00000145734.20","blue"
"GTF2H2|ENSG00000145736.15","grey"
"SLC30A5|ENSG00000145740.20","blue"
"BTF3|ENSG00000145741.17","blue"
"FBXL17|ENSG00000145743.18","blue"
"SPATA9|ENSG00000145757.16","grey"
"TNFAIP8|ENSG00000145779.8","greenyellow"
"FEM1C|ENSG00000145780.8","blue"
"COMMD10|ENSG00000145781.9","blue"
"ATG12|ENSG00000145782.13","blue"
"MEGF10|ENSG00000145794.17","turquoise"
"ADAMTS19|ENSG00000145808.10","yellow"
"YIPF5|ENSG00000145817.17","blue"
"ARHGAP26|ENSG00000145819.18","green"
"CXCL14|ENSG00000145824.13","green"
"SLC25A48|ENSG00000145832.16","brown"
"DDX46|ENSG00000145833.16","blue"
"RNF145|ENSG00000145860.12","blue"
"C1QTNF2|ENSG00000145861.9","yellow"
"GABRA6|ENSG00000145863.11","yellow"
"GABRB2|ENSG00000145864.14","yellow"
"FBXO38|ENSG00000145868.17","blue"
"PCYOX1L|ENSG00000145882.11","yellow"
"GLRA1|ENSG00000145888.11","grey"
"TNIP1|ENSG00000145901.16","blue"
"G3BP1|ENSG00000145907.16","brown"
"ZNF300|ENSG00000145908.13","turquoise"
"N4BP3|ENSG00000145911.6","darkturquoise"
"NHP2|ENSG00000145912.10","blue"
"RMND5B|ENSG00000145916.19","blue"
"BOD1|ENSG00000145919.11","blue"
"CPLX2|ENSG00000145920.15","yellow"
"TENM2|ENSG00000145934.17","green"
"KCNMB1|ENSG00000145936.9","grey"
"FAM50B|ENSG00000145945.7","blue"
"MYLK4|ENSG00000145949.12","yellow"
"TBC1D7|ENSG00000145979.18","blue"
"FARS2|ENSG00000145982.13","green"
"GFOD1|ENSG00000145990.11","green"
"CDKAL1|ENSG00000145996.11","brown"
"PCDHB18P|ENSG00000146001.5","pink"
"PSD2|ENSG00000146005.4","brown"
"LRRTM2|ENSG00000146006.8","yellow"
"ZMAT2|ENSG00000146007.11","blue"
"KLHL3|ENSG00000146021.15","blue"
"DCDC2|ENSG00000146038.12","yellow"
"TRIM7|ENSG00000146054.18","green"
"TRIM41|ENSG00000146063.20","brown"
"HIGD2A|ENSG00000146066.3","blue"
"FAM193B|ENSG00000146067.17","green"
"PLA2G7|ENSG00000146070.17","yellow"
"TNFRSF21|ENSG00000146072.6","blue"
"RNF44|ENSG00000146083.12","green"
"MMUT|ENSG00000146085.8","blue"
"RASGEF1C|ENSG00000146090.16","blue"
"DOK3|ENSG00000146094.16","green"
"ABT1|ENSG00000146109.5","blue"
"PPP1R18|ENSG00000146112.12","darkred"
"DAAM2|ENSG00000146122.17","turquoise"
"PRIM2|ENSG00000146143.19","brown"
"MLIP|ENSG00000146147.15","green"
"HMGCLL1|ENSG00000146151.14","blue"
"FGD2|ENSG00000146192.15","greenyellow"
"SCUBE3|ENSG00000146197.9","green"
"ANO7|ENSG00000146205.15","turquoise"
"CRIP3|ENSG00000146215.14","green"
"TTBK1|ENSG00000146216.13","green"
"TCTE1|ENSG00000146221.10","green"
"RPL7L1|ENSG00000146223.16","blue"
"NFKBIE|ENSG00000146232.17","darkturquoise"
"CYP39A1|ENSG00000146233.8","tan"
"TPBG|ENSG00000146242.9","yellow"
"IRAK1BP1|ENSG00000146243.14","green"
"PHIP|ENSG00000146247.15","brown"
"PRSS35|ENSG00000146250.7","lightgreen"
"MMS22L|ENSG00000146263.12","turquoise"
"FAXC|ENSG00000146267.12","yellow"
"PNRC1|ENSG00000146278.11","blue"
"PM20D2|ENSG00000146281.6","brown"
"RARS2|ENSG00000146282.19","brown"
"SCML4|ENSG00000146285.14","grey"
"TBC1D32|ENSG00000146350.14","blue"
"CLVS2|ENSG00000146352.13","yellow"
"GPR6|ENSG00000146360.9","yellow"
"RNF217|ENSG00000146373.17","brown"
"RSPO3|ENSG00000146374.14","yellow"
"ARHGAP18|ENSG00000146376.11","blue"
"ABRACL|ENSG00000146386.8","yellow"
"SLC18B1|ENSG00000146409.12","brown"
"MTFR2|ENSG00000146410.12","grey"
"SLC2A12|ENSG00000146411.6","brown"
"SHPRH|ENSG00000146414.17","blue"
"AIG1|ENSG00000146416.19","blue"
"DYNLT1|ENSG00000146425.11","brown"
"TIAM2|ENSG00000146426.19","yellow"
"TMEM181|ENSG00000146433.10","blue"
"PNLDC1|ENSG00000146453.13","yellow"
"WTAP|ENSG00000146457.16","blue"
"ZMYM4|ENSG00000146463.12","magenta"
"VIP|ENSG00000146469.13","yellow"
"ARMT1|ENSG00000146476.11","blue"
"SLC22A3|ENSG00000146477.6","grey"
"VWDE|ENSG00000146530.15","yellow"
"GNA12|ENSG00000146535.14","brown"
"C7orf50|ENSG00000146540.15","blue"
"SDK1|ENSG00000146555.20","green"
"WASH2P|ENSG00000146556.16","grey"
"CCZ1B|ENSG00000146574.16","blue"
"INTS15|ENSG00000146576.13","blue"
"RBAK|ENSG00000146587.18","blue"
"CREB5|ENSG00000146592.17","turquoise"
"EGFR|ENSG00000146648.21","lightgreen"
"CDCA5|ENSG00000146670.10","red"
"IGFBP3|ENSG00000146674.16","blue"
"PURB|ENSG00000146676.10","blue"
"RPL32P18|ENSG00000146677.7","grey"
"IGFBP1|ENSG00000146678.10","grey"
"SSC4D|ENSG00000146700.9","grey"
"MDH2|ENSG00000146701.12","blue"
"POMZP3|ENSG00000146707.15","blue"
"NIPSNAP2|ENSG00000146729.10","blue"
"CCT6A|ENSG00000146731.11","blue"
"PSPH|ENSG00000146733.14","brown"
"ZNF92|ENSG00000146757.14","brown"
"ATXN7L1|ENSG00000146776.15","green"
"TMEM168|ENSG00000146802.13","brown"
"TRAPPC14|ENSG00000146826.17","green"
"SLC12A9|ENSG00000146828.18","turquoise"
"GIGYF1|ENSG00000146830.11","blue"
"TRIM4|ENSG00000146833.16","brown"
"MEPCE|ENSG00000146834.15","blue"
"TMEM209|ENSG00000146842.17","brown"
"AGBL3|ENSG00000146856.14","blue"
"ZC3HAV1L|ENSG00000146858.8","green"
"TMEM140|ENSG00000146859.6","turquoise"
"TLK2|ENSG00000146872.19","salmon"
"EPHA1|ENSG00000146904.9","grey"
"NOM1|ENSG00000146909.8","blue"
"NCAPG2|ENSG00000146918.20","brown"
"NLGN4X|ENSG00000146938.16","yellow"
"SHROOM2|ENSG00000146950.13","green"
"LUC7L2|ENSG00000146963.18","blue"
"DENND2A|ENSG00000146966.13","brown"
"CLTRN|ENSG00000147003.7","grey"
"SH3KBP1|ENSG00000147010.19","blue"
"TMEM47|ENSG00000147027.4","brown"
"LANCL3|ENSG00000147036.12","yellow"
"SYTL5|ENSG00000147041.12","yellow"
"CASK|ENSG00000147044.23","blue"
"KDM6A|ENSG00000147050.17","brown"
"SPIN2A|ENSG00000147059.9","yellow"
"MSN|ENSG00000147065.18","tan"
"CCNB3|ENSG00000147082.18","turquoise"
"HDAC8|ENSG00000147099.21","blue"
"SLC16A2|ENSG00000147100.11","green"
"DIPK2B|ENSG00000147113.17","turquoise"
"ZNF157|ENSG00000147117.8","blue"
"ZNF182|ENSG00000147118.12","blue"
"CHST7|ENSG00000147119.4","grey"
"KRBOX4|ENSG00000147121.16","blue"
"NDUFB11|ENSG00000147123.12","blue"
"ZNF41|ENSG00000147124.13","blue"
"ZMYM3|ENSG00000147130.14","green"
"TAF1|ENSG00000147133.17","brown"
"NONO|ENSG00000147140.17","blue"
"CCDC120|ENSG00000147144.13","green"
"LPAR4|ENSG00000147145.14","turquoise"
"EBP|ENSG00000147155.11","blue"
"OGT|ENSG00000147162.15","blue"
"SNX12|ENSG00000147164.12","blue"
"ITGB1BP2|ENSG00000147166.11","grey"
"IL2RG|ENSG00000147168.14","tan"
"GCNA|ENSG00000147174.12","green"
"ZNF711|ENSG00000147180.17","blue"
"DIAPH2|ENSG00000147202.19","yellow"
"PRPS1|ENSG00000147224.13","blue"
"RADX|ENSG00000147231.14","brown"
"FRMPD3|ENSG00000147234.11","green"
"HTR2C|ENSG00000147246.10","yellow"
"DOCK11|ENSG00000147251.16","blue"
"IGSF1|ENSG00000147255.19","turquoise"
"ARHGAP36|ENSG00000147256.12","grey"
"GPC3|ENSG00000147257.16","grey"
"RBMX|ENSG00000147274.14","brown"
"MCPH1|ENSG00000147316.15","blue"
"MFHAS1|ENSG00000147324.11","blue"
"FBXO25|ENSG00000147364.17","blue"
"FATE1|ENSG00000147378.11","grey"
"NSDHL|ENSG00000147383.11","blue"
"ZNF185|ENSG00000147394.20","brown"
"CETN2|ENSG00000147400.10","blue"
"RPL10|ENSG00000147403.18","blue"
"CSGALNACT1|ENSG00000147408.16","blue"
"ATP6V1B2|ENSG00000147416.11","blue"
"CCDC25|ENSG00000147419.19","blue"
"HMBOX1|ENSG00000147421.18","brown"
"CHRNB3|ENSG00000147432.7","grey"
"CHRNA6|ENSG00000147434.9","grey"
"GNRH1|ENSG00000147437.10","grey"
"BIN3|ENSG00000147439.14","green"
"DOK2|ENSG00000147443.13","grey"
"SLC25A37|ENSG00000147454.14","blue"
"CHMP7|ENSG00000147457.14","blue"
"DOCK5|ENSG00000147459.18","turquoise"
"STAR|ENSG00000147465.12","yellow"
"PLPBP|ENSG00000147471.12","blue"
"ERLIN2|ENSG00000147475.17","brown"
"SNTG1|ENSG00000147481.17","yellow"
"PXDNL|ENSG00000147485.13","yellow"
"ST18|ENSG00000147488.13","turquoise"
"RGS20|ENSG00000147509.14","lightgreen"
"TACC1|ENSG00000147526.20","blue"
"GOLGA7|ENSG00000147533.19","brown"
"PLPP5|ENSG00000147535.17","blue"
"GINS4|ENSG00000147536.12","turquoise"
"NSD3|ENSG00000147548.17","blue"
"CRH|ENSG00000147571.5","yellow"
"ADHFE1|ENSG00000147576.17","brown"
"MRPS28|ENSG00000147586.10","brown"
"PMP2|ENSG00000147588.7","brown"
"LACTB2|ENSG00000147592.9","brown"
"TERF1|ENSG00000147601.15","blue"
"RPL7|ENSG00000147604.14","blue"
"SLC26A7|ENSG00000147606.9","turquoise"
"SYBU|ENSG00000147642.17","yellow"
"DPYS|ENSG00000147647.13","yellow"
"MTDH|ENSG00000147649.10","blue"
"LRP12|ENSG00000147650.12","yellow"
"EBAG9|ENSG00000147654.16","blue"
"RSPO2|ENSG00000147655.12","yellow"
"POLR2K|ENSG00000147669.11","blue"
"MAL2|ENSG00000147676.14","yellow"
"EIF3H|ENSG00000147677.12","blue"
"UTP23|ENSG00000147679.12","blue"
"NDUFB9|ENSG00000147684.10","blue"
"TATDN1|ENSG00000147687.19","blue"
"FAM135B|ENSG00000147724.12","yellow"
"ZNF7|ENSG00000147789.16","blue"
"ARHGAP39|ENSG00000147799.12","green"
"SLC39A4|ENSG00000147804.10","darkturquoise"
"NAPRT|ENSG00000147813.16","grey"
"VLDLR|ENSG00000147852.17","blue"
"AK3|ENSG00000147853.17","brown"
"UHRF2|ENSG00000147854.17","blue"
"NFIB|ENSG00000147862.18","brown"
"CER1|ENSG00000147869.5","grey"
"PLIN2|ENSG00000147872.10","tan"
"HAUS6|ENSG00000147874.11","brown"
"CDKN2B|ENSG00000147883.12","brown"
"CDKN2A|ENSG00000147889.18","grey"
"C9orf72|ENSG00000147894.17","blue"
"ZCCHC7|ENSG00000147905.18","blue"
"FBXO10|ENSG00000147912.13","green"
"SIGMAR1|ENSG00000147955.18","green"
"CBWD5|ENSG00000147996.17","blue"
"CEP78|ENSG00000148019.14","brown"
"NTRK2|ENSG00000148053.18","blue"
"IDNK|ENSG00000148057.16","blue"
"SHC3|ENSG00000148082.10","green"
"AUH|ENSG00000148090.12","blue"
"MFSD14B|ENSG00000148110.17","brown"
"AOPEP|ENSG00000148120.18","brown"
"PLPPR1|ENSG00000148123.15","turquoise"
"OR13C4|ENSG00000148136.5","grey"
"ZNF462|ENSG00000148143.13","brown"
"INIP|ENSG00000148153.14","blue"
"UGCG|ENSG00000148154.10","blue"
"SNX30|ENSG00000148158.17","blue"
"STOM|ENSG00000148175.13","brown"
"GSN|ENSG00000148180.22","turquoise"
"MRRF|ENSG00000148187.18","blue"
"NR6A1|ENSG00000148200.17","green"
"CRB2|ENSG00000148204.12","turquoise"
"ALAD|ENSG00000148218.16","brown"
"ASTN2|ENSG00000148219.18","blue"
"WDR31|ENSG00000148225.16","blue"
"POLE3|ENSG00000148229.13","blue"
"SURF4|ENSG00000148248.14","blue"
"GBGT1|ENSG00000148288.13","green"
"SURF1|ENSG00000148290.10","blue"
"SURF2|ENSG00000148291.10","blue"
"SURF6|ENSG00000148296.7","blue"
"MED22|ENSG00000148297.16","brown"
"REXO4|ENSG00000148300.12","blue"
"RPL7A|ENSG00000148303.17","blue"
"GTF3C5|ENSG00000148308.18","brown"
"ASB6|ENSG00000148331.12","green"
"PTGES2|ENSG00000148334.16","green"
"NTMT1|ENSG00000148335.15","blue"
"CIZ1|ENSG00000148337.22","green"
"SLC25A25|ENSG00000148339.13","blue"
"SH3GLB2|ENSG00000148341.18","blue"
"MIGA2|ENSG00000148343.19","green"
"PTGES|ENSG00000148344.11","green"
"LRSAM1|ENSG00000148356.15","green"
"HMCN2|ENSG00000148357.18","black"
"GPR107|ENSG00000148358.20","blue"
"PAXX|ENSG00000148362.11","blue"
"INPP5E|ENSG00000148384.14","green"
"SEC16A|ENSG00000148396.19","green"
"DPH7|ENSG00000148399.13","brown"
"NOTCH1|ENSG00000148400.13","turquoise"
"CACNA1B|ENSG00000148408.14","green"
"NACC2|ENSG00000148411.8","brown"
"PROSER2|ENSG00000148426.13","grey"
"USP6NL|ENSG00000148429.15","turquoise"
"COMMD3|ENSG00000148444.16","salmon"
"MSRB2|ENSG00000148450.13","grey"
"PDSS1|ENSG00000148459.16","grey"
"FAM171A1|ENSG00000148468.17","lightyellow"
"MINDY3|ENSG00000148481.14","midnightblue"
"SLC39A12|ENSG00000148482.12","lightgreen"
"TMEM236|ENSG00000148483.9","grey"
"RSU1|ENSG00000148484.18","grey"
"ST8SIA6|ENSG00000148488.17","grey"
"PARD3|ENSG00000148498.17","darkgreen"
"ANKRD30A|ENSG00000148513.20","grey"
"ZEB1|ENSG00000148516.23","grey"
"FAM13C|ENSG00000148541.13","turquoise"
"NRBF2|ENSG00000148572.16","magenta"
"CDHR1|ENSG00000148600.15","red"
"RGR|ENSG00000148604.15","grey"
"POLR3A|ENSG00000148606.15","red"
"HERC4|ENSG00000148634.16","grey"
"LRMDA|ENSG00000148655.15","grey"
"CAMK2G|ENSG00000148660.22","black"
"ADIRF|ENSG00000148671.14","lightgreen"
"GLUD1|ENSG00000148672.10","darkgreen"
"HTR7|ENSG00000148680.16","red"
"RPP30|ENSG00000148688.14","magenta"
"FRA10AC1|ENSG00000148690.12","grey"
"ADD3|ENSG00000148700.15","darkgreen"
"HABP2|ENSG00000148702.15","purple"
"VAX1|ENSG00000148704.13","grey"
"DNAJB12|ENSG00000148719.16","grey"
"EIF4EBP2|ENSG00000148730.7","lightgreen"
"NPFFR1|ENSG00000148734.8","lightgreen"
"TCF7L2|ENSG00000148737.17","lightyellow"
"MKI67|ENSG00000148773.14","grey"
"INA|ENSG00000148798.11","red"
"FUOM|ENSG00000148803.12","grey"
"LRRC27|ENSG00000148814.18","black"
"MTG1|ENSG00000148824.19","turquoise"
"NKX6-2|ENSG00000148826.9","turquoise"
"PAOX|ENSG00000148832.16","turquoise"
"GSTO1|ENSG00000148834.13","midnightblue"
"TAF5|ENSG00000148835.12","grey"
"PPRC1|ENSG00000148840.11","lightyellow"
"ITPRIP|ENSG00000148841.17","darkred"
"CNNM2|ENSG00000148842.18","orange"
"PDCD11|ENSG00000148843.15","grey"
"ADAM12|ENSG00000148848.15","grey"
"RGS10|ENSG00000148908.15","greenyellow"
"BTBD10|ENSG00000148925.11","magenta"
"ADM|ENSG00000148926.10","darkred"
"GAS2|ENSG00000148935.12","grey"
"SLC5A12|ENSG00000148942.15","grey"
"LIN7C|ENSG00000148943.12","grey"
"LRRC4C|ENSG00000148948.8","red"
"IMMP1L|ENSG00000148950.11","grey"
"PGAP2|ENSG00000148985.20","turquoise"
"TUT1|ENSG00000149016.16","grey"
"ZNF214|ENSG00000149050.10","grey"
"ZNF215|ENSG00000149054.16","red"
"HSD17B12|ENSG00000149084.13","darkgreen"
"APIP|ENSG00000149089.13","turquoise"
"PAMR1|ENSG00000149090.13","grey"
"DGKZ|ENSG00000149091.15","black"
"EIF3M|ENSG00000149100.13","midnightblue"
"TNKS1BP1|ENSG00000149115.14","black"
"SERPING1|ENSG00000149131.17","grey"
"SSRP1|ENSG00000149136.9","midnightblue"
"SLC43A1|ENSG00000149150.9","black"
"PTPRJ|ENSG00000149177.15","grey"
"CSTPP1|ENSG00000149179.14","grey"
"ARFGAP2|ENSG00000149182.15","darkgrey"
"CELF1|ENSG00000149187.19","purple"
"HIKESHI|ENSG00000149196.17","lightcyan"
"CCDC81|ENSG00000149201.10","tan"
"SESN3|ENSG00000149212.12","grey"
"ENDOD1|ENSG00000149218.5","turquoise"
"CCDC82|ENSG00000149231.16","turquoise"
"KLHL35|ENSG00000149243.17","grey"
"TENM4|ENSG00000149256.16","purple"
"SERPINH1|ENSG00000149257.16","darkred"
"CAPN5|ENSG00000149260.18","cyan"
"INTS4|ENSG00000149262.19","turquoise"
"PAK1|ENSG00000149269.10","red"
"RPS3|ENSG00000149273.15","lightcyan"
"ZC3H12C|ENSG00000149289.11","darkgreen"
"TTC12|ENSG00000149292.17","turquoise"
"NCAM1|ENSG00000149294.17","lightyellow"
"DRD2|ENSG00000149295.14","cyan"
"C11orf52|ENSG00000149300.10","grey"
"HTR3B|ENSG00000149305.8","red"
"NPAT|ENSG00000149308.17","grey"
"ATM|ENSG00000149311.20","turquoise"
"AASDHPPT|ENSG00000149313.11","magenta"
"GLB1L2|ENSG00000149328.15","purple"
"SLX4IP|ENSG00000149346.15","turquoise"
"LAMTOR1|ENSG00000149357.10","darkgrey"
"P4HA3|ENSG00000149380.12","grey"
"GRIK4|ENSG00000149403.13","lightyellow"
"ST14|ENSG00000149418.11","grey"
"HYOU1|ENSG00000149428.21","grey60"
"ADAM33|ENSG00000149451.19","royalblue"
"SLC22A8|ENSG00000149452.16","grey"
"KAT14|ENSG00000149474.15","magenta"
"TKFC|ENSG00000149476.16","grey"
"MTA2|ENSG00000149480.7","tan"
"TMEM138|ENSG00000149483.13","grey"
"FADS1|ENSG00000149485.19","turquoise"
"TMC2|ENSG00000149488.14","grey"
"ROM1|ENSG00000149489.9","tan"
"EML3|ENSG00000149499.12","turquoise"
"INCENP|ENSG00000149503.13","purple"
"PLCH2|ENSG00000149527.18","black"
"FRG1BP|ENSG00000149531.15","grey"
"CPSF7|ENSG00000149532.16","lightyellow"
"B3GAT3|ENSG00000149541.10","grey"
"EI24|ENSG00000149547.15","midnightblue"
"CCDC15|ENSG00000149548.15","turquoise"
"CHEK1|ENSG00000149554.14","grey"
"FEZ1|ENSG00000149557.14","turquoise"
"ESAM|ENSG00000149564.12","tan"
"KIRREL3|ENSG00000149571.12","black"
"MPZL2|ENSG00000149573.9","darkred"
"SCN2B|ENSG00000149575.9","red"
"SIDT2|ENSG00000149577.16","lightyellow"
"TMEM25|ENSG00000149582.16","purple"
"TAGLN|ENSG00000149591.17","grey"
"JPH2|ENSG00000149596.7","grey"
"DUSP15|ENSG00000149599.16","grey"
"COMMD7|ENSG00000149600.12","red"
"KIAA1755|ENSG00000149633.12","turquoise"
"SPATA25|ENSG00000149634.5","grey"
"DSN1|ENSG00000149636.16","magenta"
"SOGA1|ENSG00000149639.15","lightyellow"
"CNBD2|ENSG00000149646.12","grey"
"CDH22|ENSG00000149654.11","black"
"LSM14B|ENSG00000149657.20","grey60"
"YTHDF1|ENSG00000149658.18","grey"
"CABLES2|ENSG00000149679.12","cyan"
"LTO1|ENSG00000149716.13","lightyellow"
"SLC22A9|ENSG00000149742.10","pink"
"TRPT1|ENSG00000149743.14","grey"
"NUDT22|ENSG00000149761.9","black"
"FERMT3|ENSG00000149781.14","darkred"
"PLCB3|ENSG00000149782.13","grey"
"MRPL49|ENSG00000149792.9","grey60"
"CDC42EP2|ENSG00000149798.5","turquoise"
"FAU|ENSG00000149806.11","lightcyan"
"TM7SF2|ENSG00000149809.17","grey"
"VPS51|ENSG00000149823.9","grey60"
"TBX6|ENSG00000149922.12","grey"
"PPP4C|ENSG00000149923.14","grey"
"ALDOA|ENSG00000149925.22","grey60"
"TLCD3B|ENSG00000149926.14","cyan"
"DOC2A|ENSG00000149927.18","black"
"HIRIP3|ENSG00000149929.16","turquoise"
"TAOK2|ENSG00000149930.18","black"
"TMEM219|ENSG00000149932.17","darkgreen"
"HMGA2|ENSG00000149948.14","grey"
"CNKSR2|ENSG00000149970.16","yellow"
"CNTN5|ENSG00000149972.12","red"
"CLEC1A|ENSG00000150048.10","darkred"
"MKX|ENSG00000150051.14","red"
"MPP7|ENSG00000150054.19","red"
"ITGB1|ENSG00000150093.20","turquoise"
"FRMPD2B|ENSG00000150175.14","red"
"FXYD4|ENSG00000150201.15","turquoise"
"PCDH15|ENSG00000150275.20","grey"
"CTF1|ENSG00000150281.7","grey"
"CWC15|ENSG00000150316.12","lightcyan"
"FCGR1A|ENSG00000150337.14","greenyellow"
"ARID5B|ENSG00000150347.17","grey"
"KLHL1|ENSG00000150361.12","grey"
"CDH8|ENSG00000150394.14","red"
"DCUN1D2|ENSG00000150401.15","red"
"TMCO3|ENSG00000150403.18","turquoise"
"TMEM218|ENSG00000150433.10","darkgreen"
"TIRAP|ENSG00000150455.15","grey"
"EEF1AKMT1|ENSG00000150456.11","grey"
"LATS2|ENSG00000150457.9","tan"
"SAP18|ENSG00000150459.13","lightcyan"
"ADGRL3|ENSG00000150471.17","blue"
"KIAA1328|ENSG00000150477.15","turquoise"
"FAM124A|ENSG00000150510.17","turquoise"
"MIA2|ENSG00000150527.18","salmon"
"HNMT|ENSG00000150540.14","grey"
"LYPD1|ENSG00000150551.11","grey"
"LYPD6B|ENSG00000150556.17","red"
"PDCD4|ENSG00000150593.18","salmon"
"ADRA2A|ENSG00000150594.7","black"
"GPM6A|ENSG00000150625.17","blue"
"WDR17|ENSG00000150627.16","blue"
"SPATA4|ENSG00000150628.7","grey"
"VEGFC|ENSG00000150630.4","grey"
"CCDC102B|ENSG00000150636.17","salmon"
"CD226|ENSG00000150637.9","turquoise"
"CNDP1|ENSG00000150656.15","turquoise"
"FSIP1|ENSG00000150667.8","yellow"
"DLG2|ENSG00000150672.18","orange"
"RGS18|ENSG00000150681.10","greenyellow"
"PRSS23|ENSG00000150687.12","grey"
"MTMR12|ENSG00000150712.11","blue"
"PPP1R1C|ENSG00000150722.11","grey"
"CCT5|ENSG00000150753.12","blue"
"ATPSCKMT|ENSG00000150756.14","blue"
"DOCK1|ENSG00000150760.13","turquoise"
"DIXDC1|ENSG00000150764.14","turquoise"
"DLAT|ENSG00000150768.17","magenta"
"PIH1D2|ENSG00000150773.12","lightgreen"
"NKAPD1|ENSG00000150776.18","midnightblue"
"TIMM8B|ENSG00000150779.12","lightcyan"
"IL18|ENSG00000150782.12","greenyellow"
"TEX12|ENSG00000150783.10","grey"
"PTS|ENSG00000150787.8","midnightblue"
"PIP4K2A|ENSG00000150867.14","turquoise"
"C2orf50|ENSG00000150873.12","purple"
"FREM2|ENSG00000150893.11","grey"
"FOXO1|ENSG00000150907.10","darkgreen"
"CRIM1|ENSG00000150938.10","grey"
"SEC24D|ENSG00000150961.15","yellow"
"ABCB9|ENSG00000150967.19","black"
"RILPL2|ENSG00000150977.11","grey"
"DHX37|ENSG00000150990.9","grey"
"UBC|ENSG00000150991.16","midnightblue"
"ITPR1|ENSG00000150995.21","yellow"
"TKTL2|ENSG00000151005.5","grey"
"PRSS53|ENSG00000151006.8","royalblue"
"SLC7A11|ENSG00000151012.13","brown"
"NOCT|ENSG00000151014.6","green"
"ENKUR|ENSG00000151023.17","grey"
"GPR158|ENSG00000151025.11","red"
"CACNA2D4|ENSG00000151062.15","turquoise"
"DCP1B|ENSG00000151065.14","grey"
"CACNA1C|ENSG00000151067.23","purple"
"KCNA6|ENSG00000151079.8","purple"
"THRB|ENSG00000151090.20","yellow"
"NGLY1|ENSG00000151092.18","blue"
"OXSM|ENSG00000151093.8","blue"
"UEVLD|ENSG00000151116.17","turquoise"
"TMEM86A|ENSG00000151117.9","grey"
"NOPCHAP1|ENSG00000151131.11","red"
"TMEM263|ENSG00000151135.10","midnightblue"
"BTBD11|ENSG00000151136.15","red"
"UBE3B|ENSG00000151148.14","lightyellow"
"ANK3|ENSG00000151150.22","grey"
"IPMK|ENSG00000151151.6","grey"
"RAD9B|ENSG00000151164.19","turquoise"
"PLBD2|ENSG00000151176.8","orange"
"DLG5|ENSG00000151208.17","royalblue"
"SLC2A13|ENSG00000151229.13","red"
"GXYLT1|ENSG00000151233.11","darkgreen"
"TWF1|ENSG00000151239.14","darkgreen"
"DIP2C|ENSG00000151240.17","lightyellow"
"EIF4E|ENSG00000151247.13","blue"
"MAGI1|ENSG00000151276.24","yellow"
"TEX30|ENSG00000151287.17","midnightblue"
"CSNK1G3|ENSG00000151292.19","blue"
"SRFBP1|ENSG00000151304.6","blue"
"AKAP6|ENSG00000151320.11","red"
"NPAS3|ENSG00000151322.20","darkgreen"
"FAM177A1|ENSG00000151327.14","turquoise"
"MBIP|ENSG00000151332.20","grey"
"MIPOL1|ENSG00000151338.21","grey"
"EXT2|ENSG00000151348.16","red"
"TMEM18|ENSG00000151353.15","magenta"
"ALLC|ENSG00000151360.10","grey"
"KCTD14|ENSG00000151364.17","grey"
"NDUFC2|ENSG00000151366.13","midnightblue"
"ME3|ENSG00000151376.18","red"
"ADAMTS12|ENSG00000151388.11","grey"
"NUBPL|ENSG00000151413.17","salmon"
"NEK7|ENSG00000151414.15","turquoise"
"FER|ENSG00000151422.14","blue"
"VIPAS39|ENSG00000151445.16","grey"
"ANKRD50|ENSG00000151458.12","blue"
"UPF2|ENSG00000151461.20","magenta"
"CDC123|ENSG00000151465.14","midnightblue"
"SCLT1|ENSG00000151466.12","blue"
"CCDC3|ENSG00000151468.11","purple"
