"","module"
"TSPAN6|ENSG00000000003.15","salmon"
"HNRNPH3|ENSG00000096746.18","greenyellow"
"IFT74|ENSG00000096872.17","purple"
"JAK2|ENSG00000096968.14","midnightblue"
"IL12RB1|ENSG00000096996.16","grey"
"ABL1|ENSG00000097007.19","royalblue"
"ACOT7|ENSG00000097021.20","turquoise"
"SH3GLB1|ENSG00000097033.14","yellow"
"CDC7|ENSG00000097046.13","brown"
"SYDE2|ENSG00000097096.10","tan"
"PCSK5|ENSG00000099139.14","tan"
"SCD|ENSG00000099194.6","blue"
"TMED1|ENSG00000099203.7","lightcyan"
"ABLIM1|ENSG00000099204.21","lightyellow"
"ERMP1|ENSG00000099219.15","yellow"
"RAB18|ENSG00000099246.18","darkgreen"
"NRP1|ENSG00000099250.18","tan"
"HSD17B7P2|ENSG00000099251.14","yellow"
"PRTFDC1|ENSG00000099256.19","yellow"
"PALMD|ENSG00000099260.12","purple"
"TSPAN15|ENSG00000099282.10","blue"
"MACROH2A2|ENSG00000099284.15","brown"
"WASHC2A|ENSG00000099290.17","brown"
"MAST3|ENSG00000099308.12","turquoise"
"MZF1|ENSG00000099326.9","magenta"
"OCEL1|ENSG00000099330.9","grey"
"MYO9B|ENSG00000099331.14","blue"
"KCNK6|ENSG00000099337.5","grey"
"CATSPERG|ENSG00000099338.23","skyblue"
"PSMD8|ENSG00000099341.13","turquoise"
"FBXL19|ENSG00000099364.18","turquoise"
"STX1B|ENSG00000099365.11","turquoise"
"HSD3B7|ENSG00000099377.14","pink"
"SETD1A|ENSG00000099381.19","magenta"
"BCL7C|ENSG00000099385.12","yellow"
"EFNA2|ENSG00000099617.4","brown"
"CIRBP|ENSG00000099622.14","grey"
"ATP5F1D|ENSG00000099624.8","turquoise"
"CBARP|ENSG00000099625.14","turquoise"
"PCDH11Y|ENSG00000099715.15","brown"
"PRKY|ENSG00000099725.14","brown"
"IGFALS|ENSG00000099769.6","grey"
"HNRNPM|ENSG00000099783.12","greenyellow"
"MARCHF2|ENSG00000099785.11","brown"
"NDUFB7|ENSG00000099795.7","lightcyan"
"TECR|ENSG00000099797.15","royalblue"
"TIMM13|ENSG00000099800.8","lightcyan"
"CDC34|ENSG00000099804.9","turquoise"
"MTAP|ENSG00000099810.21","yellow"
"MISP|ENSG00000099812.9","brown"
"CEP170B|ENSG00000099814.17","turquoise"
"POLR2E|ENSG00000099817.12","turquoise"
"POLRMT|ENSG00000099821.14","magenta"
"HCN2|ENSG00000099822.3","magenta"
"CDHR5|ENSG00000099834.19","salmon"
"IZUMO4|ENSG00000099840.14","royalblue"
"RASSF7|ENSG00000099849.15","turquoise"
"GADD45B|ENSG00000099860.9","lightgreen"
"PALM|ENSG00000099864.18","turquoise"
"MADCAM1|ENSG00000099866.16","brown"
"MKNK2|ENSG00000099875.16","lightgreen"
"ARVCF|ENSG00000099889.14","magenta"
"TRMT2A|ENSG00000099899.15","magenta"
"RANBP1|ENSG00000099901.17","red"
"ZDHHC8|ENSG00000099904.16","magenta"
"KLHL22|ENSG00000099910.17","turquoise"
"MED15|ENSG00000099917.17","turquoise"
"SERPIND1|ENSG00000099937.11","salmon"
"SNAP29|ENSG00000099940.12","grey"
"CRKL|ENSG00000099942.13","brown"
"LZTR1|ENSG00000099949.22","magenta"
"MMP11|ENSG00000099953.10","grey"
"CECR2|ENSG00000099954.19","blue"
"SMARCB1|ENSG00000099956.20","turquoise"
"P2RX6|ENSG00000099957.17","tan"
"DERL3|ENSG00000099958.15","royalblue"
"SLC7A4|ENSG00000099960.13","turquoise"
"BCL2L13|ENSG00000099968.18","red"
"DDTL|ENSG00000099974.8","grey"
"DDT|ENSG00000099977.15","lightcyan"
"OSM|ENSG00000099985.4","lightgreen"
"CABIN1|ENSG00000099991.18","magenta"
"TBC1D10A|ENSG00000099992.16","green"
"SUSD2|ENSG00000099994.11","white"
"SF3A1|ENSG00000099995.19","turquoise"
"GGT5|ENSG00000099998.19","lightgreen"
"RNF215|ENSG00000099999.15","brown"
"SEC14L2|ENSG00000100003.18","tan"
"SPECC1L|ENSG00000100014.20","midnightblue"
"PPIL2|ENSG00000100023.20","magenta"
"UPB1|ENSG00000100024.15","grey"
"YPEL1|ENSG00000100027.17","darkgrey"
"SNRPD3|ENSG00000100028.12","red"
"PES1|ENSG00000100029.18","turquoise"
"MAPK1|ENSG00000100030.15","green"
"GGT1|ENSG00000100031.19","magenta"
"PRODH|ENSG00000100033.17","salmon"
"PPM1F|ENSG00000100034.14","magenta"
"SLC35E4|ENSG00000100036.13","magenta"
"TOP3B|ENSG00000100038.20","magenta"
"CRYBB3|ENSG00000100053.10","turquoise"
"CYTH4|ENSG00000100055.21","cyan"
"ESS2|ENSG00000100056.12","turquoise"
"CRYBB2P1|ENSG00000100058.14","grey"
"MFNG|ENSG00000100060.18","cyan"
"CARD10|ENSG00000100065.15","grey"
"LRP5L|ENSG00000100068.14","magenta"
"SLC25A1|ENSG00000100075.10","royalblue"
"GRK3|ENSG00000100077.16","green"
"PLA2G3|ENSG00000100078.4","tan"
"GGA1|ENSG00000100083.19","magenta"
"HIRA|ENSG00000100084.14","turquoise"
"SH3BP1|ENSG00000100092.24","turquoise"
"SEZ6L|ENSG00000100095.19","green"
"LGALS1|ENSG00000100097.12","cyan"
"HPS4|ENSG00000100099.22","grey"
"PIK3IP1|ENSG00000100100.13","blue"
"SRRD|ENSG00000100104.13","darkgrey"
"PATZ1|ENSG00000100105.18","skyblue"
"TRIOBP|ENSG00000100106.22","royalblue"
"TFIP11|ENSG00000100109.17","turquoise"
"GCAT|ENSG00000100116.17","lightcyan"
"CRYBB1|ENSG00000100122.7","grey"
"ANKRD54|ENSG00000100124.15","darkturquoise"
"EIF3L|ENSG00000100129.18","darkred"
"SNU13|ENSG00000100138.15","turquoise"
"MICALL1|ENSG00000100139.14","blue"
"POLR2F|ENSG00000100142.16","blue"
"SOX10|ENSG00000100146.20","blue"
"CCDC134|ENSG00000100147.14","blue"
"DEPDC5|ENSG00000100150.20","brown"
"PICK1|ENSG00000100151.16","turquoise"
"TTC28|ENSG00000100154.15","grey"
"SLC16A8|ENSG00000100156.12","grey"
"CENPM|ENSG00000100162.15","grey"
"SEPTIN3|ENSG00000100167.21","turquoise"
"SLC5A1|ENSG00000100170.10","grey"
"TPTEP1|ENSG00000100181.22","blue"
"SLC5A4|ENSG00000100191.6","grey"
"KDELR3|ENSG00000100196.11","salmon"
"CYP2D6|ENSG00000100197.23","turquoise"
"DDX17|ENSG00000100201.23","yellow"
"DMC1|ENSG00000100206.11","midnightblue"
"TCF20|ENSG00000100207.21","turquoise"
"HSCB|ENSG00000100209.11","steelblue"
"CBY1|ENSG00000100211.12","purple"
"TOMM22|ENSG00000100216.6","darkred"
"RSPH14|ENSG00000100218.12","turquoise"
"XBP1|ENSG00000100219.17","lightgreen"
"RTCB|ENSG00000100220.12","darkred"
"JOSD1|ENSG00000100221.11","black"
"FBXO7|ENSG00000100225.18","blue"
"GTPBP1|ENSG00000100226.16","magenta"
"POLDIP3|ENSG00000100227.19","grey"
"RAB36|ENSG00000100228.14","saddlebrown"
"TIMP3|ENSG00000100234.12","salmon"
"PPP6R2|ENSG00000100239.16","turquoise"
"SBF1|ENSG00000100241.22","magenta"
"SUN2|ENSG00000100242.16","blue"
"CYB5R3|ENSG00000100243.22","turquoise"
"DNAL4|ENSG00000100246.13","turquoise"
"C22orf31|ENSG00000100249.5","grey"
"LMF2|ENSG00000100258.18","magenta"
"RHBDD3|ENSG00000100263.14","magenta"
"PACSIN2|ENSG00000100266.19","tan"
"TTLL1|ENSG00000100271.17","darkgrey"
"RASL10A|ENSG00000100276.10","darkorange"
"AP1B1|ENSG00000100280.17","turquoise"
"HMGXB4|ENSG00000100281.14","blue"
"TOM1|ENSG00000100284.22","turquoise"
"NEFH|ENSG00000100285.10","turquoise"
"CHKB|ENSG00000100288.20","magenta"
"HMOX1|ENSG00000100292.18","lightgreen"
"MCAT|ENSG00000100294.13","turquoise"
"THOC5|ENSG00000100296.14","turquoise"
"MCM5|ENSG00000100297.16","blue"
"ARSA|ENSG00000100299.18","magenta"
"TSPO|ENSG00000100300.18","cyan"
"RASD2|ENSG00000100302.7","turquoise"
"TTLL12|ENSG00000100304.13","turquoise"
"CBX7|ENSG00000100307.13","magenta"
"PDGFB|ENSG00000100311.17","turquoise"
"CABP7|ENSG00000100314.4","green"
"RPL3|ENSG00000100316.16","steelblue"
"ZMAT5|ENSG00000100319.13","lightcyan"
"RBFOX2|ENSG00000100320.24","turquoise"
"SYNGR1|ENSG00000100321.15","turquoise"
"TAB1|ENSG00000100324.14","skyblue"
"ASCC2|ENSG00000100325.15","grey"
"MTMR3|ENSG00000100330.16","green"
"MIEF1|ENSG00000100335.15","turquoise"
"APOL4|ENSG00000100336.18","lightgreen"
"PNPLA5|ENSG00000100341.13","brown"
"APOL1|ENSG00000100342.22","lightgreen"
"PNPLA3|ENSG00000100344.11","darkturquoise"
"MYH9|ENSG00000100345.23","saddlebrown"
"CACNA1I|ENSG00000100346.18","turquoise"
"SAMM50|ENSG00000100347.15","lightcyan"
"TXN2|ENSG00000100348.10","turquoise"
"FOXRED2|ENSG00000100350.16","black"
"GRAP2|ENSG00000100351.17","grey"
"EIF3D|ENSG00000100353.18","orange"
"TNRC6B|ENSG00000100354.21","green"
"SGSM3|ENSG00000100359.21","magenta"
"IFT27|ENSG00000100360.15","purple"
"PVALB|ENSG00000100362.13","grey"
"KIAA0930|ENSG00000100364.19","magenta"
"NCF4|ENSG00000100365.16","cyan"
"CSF2RB|ENSG00000100368.15","cyan"
"SLC25A17|ENSG00000100372.15","grey"
"FAM118A|ENSG00000100376.12","darkturquoise"
"KCTD17|ENSG00000100379.18","turquoise"
"ST13|ENSG00000100380.15","yellow"
"IL2RB|ENSG00000100385.15","pink"
"RBX1|ENSG00000100387.9","darkred"
"EP300|ENSG00000100393.14","magenta"
"L3MBTL2|ENSG00000100395.15","turquoise"
"CHADL|ENSG00000100399.16","blue"
"RANGAP1|ENSG00000100401.20","turquoise"
"ZC3H7B|ENSG00000100403.12","magenta"
"PHF5A|ENSG00000100410.8","steelblue"
"ACO2|ENSG00000100412.17","turquoise"
"POLR3H|ENSG00000100413.17","magenta"
"TRMU|ENSG00000100416.15","grey"
"PMM1|ENSG00000100417.12","turquoise"
"DESI1|ENSG00000100418.8","turquoise"
"CERK|ENSG00000100422.14","turquoise"
"BRD1|ENSG00000100425.19","magenta"
"ZBED4|ENSG00000100426.7","magenta"
"MLC1|ENSG00000100427.16","lightyellow"
"KCNK10|ENSG00000100433.16","grey"
"ABHD4|ENSG00000100439.11","pink"
"KHNYN|ENSG00000100441.10","yellow"
"FKBP3|ENSG00000100442.11","red"
"SDR39U1|ENSG00000100445.18","turquoise"
"RBM23|ENSG00000100461.18","darkturquoise"
"PRMT5|ENSG00000100462.16","lightcyan"
"COCH|ENSG00000100473.18","brown"
"AP4S1|ENSG00000100478.16","darkgrey"
"POLE2|ENSG00000100479.14","yellow"
"VCPKMT|ENSG00000100483.14","red"
"SOS2|ENSG00000100485.12","greenyellow"
"CDKL1|ENSG00000100490.10","black"
"NIN|ENSG00000100503.26","grey"
"PYGL|ENSG00000100504.17","lightgreen"
"TRIM9|ENSG00000100505.14","turquoise"
"PSMC6|ENSG00000100519.12","darkred"
"GNPNAT1|ENSG00000100522.10","red"
"DDHD1|ENSG00000100523.16","midnightblue"
"CDKN3|ENSG00000100526.21","red"
"CNIH1|ENSG00000100528.12","orange"
"CGRRF1|ENSG00000100532.13","greenyellow"
"ATP6V1D|ENSG00000100554.12","red"
"PIGH|ENSG00000100564.9","orange"
"PSMA3|ENSG00000100567.13","darkred"
"VTI1B|ENSG00000100568.11","red"
"TIMM9|ENSG00000100575.14","darkgreen"
"GSTZ1|ENSG00000100577.19","blue"
"KIAA0586|ENSG00000100578.18","greenyellow"
"TMED8|ENSG00000100580.8","red"
"SAMD15|ENSG00000100583.5","purple"
"AHSA1|ENSG00000100591.8","lightcyan"
"DAAM1|ENSG00000100592.16","saddlebrown"
"ISM2|ENSG00000100593.18","grey"
"SPTLC2|ENSG00000100596.8","blue"
"RIN3|ENSG00000100599.16","cyan"
"LGMN|ENSG00000100600.15","lightcyan"
"ALKBH1|ENSG00000100601.10","grey"
"SNW1|ENSG00000100603.14","greenyellow"
"CHGA|ENSG00000100604.13","brown"
"ITPK1|ENSG00000100605.17","magenta"
"DHRS7|ENSG00000100612.14","steelblue"
"PPM1A|ENSG00000100614.18","brown"
"SIX4|ENSG00000100625.9","salmon"
"GALNT16|ENSG00000100626.17","green"
"ASB2|ENSG00000100628.12","brown"
"CEP128|ENSG00000100629.17","midnightblue"
"ERH|ENSG00000100632.11","darkred"
"HIF1A|ENSG00000100644.17","lightgreen"
"SUSD6|ENSG00000100647.8","lightgreen"
"SRSF5|ENSG00000100650.16","yellow"
"EIF5|ENSG00000100664.11","red"
"SLC8A3|ENSG00000100678.19","brown"
"DICER1|ENSG00000100697.17","blue"
"ZFYVE21|ENSG00000100711.14","grey"
"MTHFD1|ENSG00000100714.18","green"
"ZC3H14|ENSG00000100722.20","grey"
"TELO2|ENSG00000100726.15","magenta"
"PCNX1|ENSG00000100731.16","green"
"GSKIP|ENSG00000100744.15","grey60"
"VRK1|ENSG00000100749.9","midnightblue"
"PSMC1|ENSG00000100764.14","red"
"PAPLN|ENSG00000100767.17","grey"
"RPS6KA5|ENSG00000100784.12","greenyellow"
"PPP4R3A|ENSG00000100796.18","greenyellow"
"C14orf93|ENSG00000100802.15","yellow"
"PSMB5|ENSG00000100804.19","lightcyan"
"YY1|ENSG00000100811.14","green"
"ACIN1|ENSG00000100813.15","magenta"
"CCNB1IP1|ENSG00000100814.18","steelblue"
"TRIP11|ENSG00000100815.12","greenyellow"
"APEX1|ENSG00000100823.12","grey60"
"PABPN1|ENSG00000100836.11","magenta"
"EFS|ENSG00000100842.13","blue"
"ARHGAP5|ENSG00000100852.14","lightyellow"
"CINP|ENSG00000100865.15","turquoise"
"DHRS2|ENSG00000100867.15","tan"
"SRP54|ENSG00000100883.13","greenyellow"
"CPNE6|ENSG00000100884.10","green"
"CHD8|ENSG00000100888.15","red"
"PCK2|ENSG00000100889.12","grey"
"PRORP|ENSG00000100890.16","yellow"
"DCAF11|ENSG00000100897.18","green"
"PSMA6|ENSG00000100902.11","darkred"
"NFKBIA|ENSG00000100906.12","lightgreen"
"EMC9|ENSG00000100908.14","lightcyan"
"PSME2|ENSG00000100911.16","pink"
"BRMS1L|ENSG00000100916.14","red"
"REC8|ENSG00000100918.14","darkturquoise"
"TM9SF1|ENSG00000100926.15","salmon"
"SEC23A|ENSG00000100934.15","darkred"
"GMPR2|ENSG00000100938.19","darkred"
"PNN|ENSG00000100941.9","greenyellow"
"RABGGTA|ENSG00000100949.15","turquoise"
"NFATC4|ENSG00000100968.14","white"
"PLTP|ENSG00000100979.15","purple"
"PCIF1|ENSG00000100982.12","skyblue"
"GSS|ENSG00000100983.12","turquoise"
"VSX1|ENSG00000100987.15","grey"
"TRPC4AP|ENSG00000100991.12","skyblue"
"PYGB|ENSG00000100994.12","turquoise"
"ABHD12|ENSG00000100997.20","green"
"PROCR|ENSG00000101000.6","pink"
"GINS1|ENSG00000101003.12","darkgrey"
"NINL|ENSG00000101004.15","salmon"
"CD40|ENSG00000101017.15","pink"
"UQCC1|ENSG00000101019.22","turquoise"
"ZMYND8|ENSG00000101040.20","green"
"SGK2|ENSG00000101049.18","blue"
"IFT52|ENSG00000101052.13","orange"
"HNF4A|ENSG00000101076.20","darkturquoise"
"NDRG3|ENSG00000101079.21","turquoise"
"SLA2|ENSG00000101082.14","grey"
"RAB5IF|ENSG00000101084.19","darkred"
"NFATC2|ENSG00000101096.20","pink"
"RIMS4|ENSG00000101098.13","turquoise"
"PABPC1L|ENSG00000101104.13","green"
"STK4|ENSG00000101109.13","grey"
"SALL4|ENSG00000101115.13","grey"
"ADNP|ENSG00000101126.18","grey"
"PFDN4|ENSG00000101132.10","red"
"DOK5|ENSG00000101134.12","red"
"CSTF1|ENSG00000101138.12","red"
"BMP7|ENSG00000101144.13","saddlebrown"
"RAE1|ENSG00000101146.13","darkgrey"
"TPD52L2|ENSG00000101150.18","magenta"
"DNAJC5|ENSG00000101152.11","turquoise"
"NELFCD|ENSG00000101158.15","grey"
"CTSZ|ENSG00000101160.15","pink"
"PRPF6|ENSG00000101161.8","turquoise"
"PRELID3B|ENSG00000101166.16","yellow"
"HRH3|ENSG00000101180.17","brown"
"MTG2|ENSG00000101181.18","magenta"
"PSMA7|ENSG00000101182.15","darkred"
"SLCO4A1|ENSG00000101187.16","lightgreen"
"NTSR1|ENSG00000101188.5","brown"
"MRGBP|ENSG00000101189.7","black"
"TCFL5|ENSG00000101190.13","blue"
"DIDO1|ENSG00000101191.17","grey"
"GID8|ENSG00000101193.8","green"
"SLC17A9|ENSG00000101194.18","grey"
"NKAIN4|ENSG00000101198.15","grey"
"ARFGAP1|ENSG00000101199.13","magenta"
"COL20A1|ENSG00000101203.17","magenta"
"CHRNA4|ENSG00000101204.18","brown"
"EEF1A2|ENSG00000101210.13","turquoise"
"GMEB2|ENSG00000101216.11","magenta"
"C20orf27|ENSG00000101220.18","turquoise"
"SPEF1|ENSG00000101222.12","saddlebrown"
"CDC25B|ENSG00000101224.18","magenta"
"ISM1|ENSG00000101230.6","brown"
"RNF24|ENSG00000101236.17","turquoise"
"ARFRP1|ENSG00000101246.20","magenta"
"NDUFAF5|ENSG00000101247.18","red"
"SEL1L2|ENSG00000101251.13","green"
"TRIB3|ENSG00000101255.12","turquoise"
"RASSF2|ENSG00000101265.16","blue"
"CSNK2A1|ENSG00000101266.19","grey60"
"SLC52A3|ENSG00000101276.18","lightgreen"
"ANGPT4|ENSG00000101280.8","turquoise"
"RSPO4|ENSG00000101282.9","grey"
"CDS2|ENSG00000101290.14","green"
"PROKR2|ENSG00000101292.8","darkorange"
"HM13|ENSG00000101294.18","darkturquoise"
"SNPH|ENSG00000101298.15","turquoise"
"MYLK2|ENSG00000101306.11","grey"
"SIRPB1|ENSG00000101307.16","grey"
"SEC23B|ENSG00000101310.17","orange"
"FERMT1|ENSG00000101311.17","grey"
"PDYN|ENSG00000101327.9","tan"
"CCM2L|ENSG00000101331.17","magenta"
"PLCB4|ENSG00000101333.19","white"
"MYL9|ENSG00000101335.10","white"
"HCK|ENSG00000101336.18","cyan"
"TM9SF4|ENSG00000101337.16","turquoise"
"CRNKL1|ENSG00000101343.15","darkgreen"
"POFUT1|ENSG00000101346.14","pink"
"SAMHD1|ENSG00000101347.11","pink"
"PAK5|ENSG00000101349.17","brown"
"KIF3B|ENSG00000101350.8","green"
"MROH8|ENSG00000101353.16","brown"
"NOP56|ENSG00000101361.17","grey60"
"MANBAL|ENSG00000101363.13","lightcyan"
"IDH3B|ENSG00000101365.21","lightcyan"
"MAPRE1|ENSG00000101367.9","yellow"
"JAG1|ENSG00000101384.12","tan"
"CDK5RAP1|ENSG00000101391.21","darkgrey"
"SNTA1|ENSG00000101400.6","grey"
"TTI1|ENSG00000101407.13","turquoise"
"E2F1|ENSG00000101412.13","skyblue"
"RPRD1B|ENSG00000101413.12","greenyellow"
"PXMP4|ENSG00000101417.12","green"
"CHMP4B|ENSG00000101421.4","darkorange"
"SLC32A1|ENSG00000101438.4","turquoise"
"CST3|ENSG00000101439.9","grey"
"ACTR5|ENSG00000101442.10","brown"
"WFDC2|ENSG00000101443.18","grey"
"AHCY|ENSG00000101444.13","lightcyan"
"PPP1R16B|ENSG00000101445.10","brown"
"FAM83D|ENSG00000101447.15","brown"
"DHX35|ENSG00000101452.15","grey"
"DNTTIP1|ENSG00000101457.13","grey"
"MAP1LC3A|ENSG00000101460.13","turquoise"
"SYNDIG1|ENSG00000101463.6","turquoise"
"PIGU|ENSG00000101464.11","blue"
"TNNC2|ENSG00000101470.10","black"
"ACOT8|ENSG00000101473.17","turquoise"
"APMAP|ENSG00000101474.12","tan"
"CELF4|ENSG00000101489.20","darkgrey"
"ZNF516|ENSG00000101493.11","green"
"CDH20|ENSG00000101542.10","blue"
"ADNP2|ENSG00000101544.9","grey"
"RBFA|ENSG00000101546.13","black"
"USP14|ENSG00000101557.15","grey60"
"VAPA|ENSG00000101558.14","darkred"
"METTL4|ENSG00000101574.15","greenyellow"
"LPIN2|ENSG00000101577.11","grey"
"SMCHD1|ENSG00000101596.17","greenyellow"
"MYOM1|ENSG00000101605.14","lightyellow"
"MYL12A|ENSG00000101608.13","pink"
"CEP76|ENSG00000101624.11","red"
"ST8SIA5|ENSG00000101638.14","turquoise"
"CEP192|ENSG00000101639.19","tan"
"RNMT|ENSG00000101654.18","red"
"SMAD7|ENSG00000101665.10","yellow"
"LIPG|ENSG00000101670.12","tan"
"LAMA1|ENSG00000101680.16","lightyellow"
"RNF125|ENSG00000101695.9","blue"
"ANKRD12|ENSG00000101745.17","midnightblue"
"NOL4|ENSG00000101746.16","darkgrey"
"POLI|ENSG00000101751.11","greenyellow"
"MIB1|ENSG00000101752.13","darkgreen"
"RBBP8|ENSG00000101773.19","salmon"
"RIOK3|ENSG00000101782.15","greenyellow"
"CSTF2|ENSG00000101811.14","green"
"MXRA5|ENSG00000101825.8","grey"
"VSIG1|ENSG00000101842.14","brown"
"PSMD10|ENSG00000101843.19","darkred"
"ATG4A|ENSG00000101844.18","pink"
"STS|ENSG00000101846.9","turquoise"
"TBL1X|ENSG00000101849.18","yellow"
"GPR143|ENSG00000101850.13","salmon"
"PGRMC1|ENSG00000101856.10","grey60"
"POLA1|ENSG00000101868.13","yellow"
"MID1|ENSG00000101871.17","saddlebrown"
"NKAP|ENSG00000101882.10","midnightblue"
"RHOXF1|ENSG00000101883.5","grey"
"NXT2|ENSG00000101888.12","lightyellow"
"GUCY2F|ENSG00000101890.5","grey"
"MCTS2|ENSG00000101898.7","grey"
"ALG13|ENSG00000101901.13","midnightblue"
"PRPS2|ENSG00000101911.13","brown"
"TLR8|ENSG00000101916.12","cyan"
"MOSPD1|ENSG00000101928.13","salmon"
"AMMECR1|ENSG00000101935.13","salmon"
"CHRDL1|ENSG00000101938.15","grey"
"WDR13|ENSG00000101940.18","turquoise"
"SUV39H1|ENSG00000101945.17","turquoise"
"PAGE4|ENSG00000101951.17","grey"
"SRPX|ENSG00000101955.15","lightyellow"
"GLRA2|ENSG00000101958.14","brown"
"XIAP|ENSG00000101966.14","orange"
"STAG2|ENSG00000101972.20","yellow"
"ATP11C|ENSG00000101974.15","pink"
"MCF2|ENSG00000101977.22","red"
"ABCD1|ENSG00000101986.12","royalblue"
"CCDC22|ENSG00000101997.13","magenta"
"CACNA1F|ENSG00000102001.13","brown"
"SYP|ENSG00000102003.12","turquoise"
"PLP2|ENSG00000102007.11","lightgreen"
"BMX|ENSG00000102010.15","white"
"PLS3|ENSG00000102024.19","greenyellow"
"NAA10|ENSG00000102030.16","turquoise"
"RENBP|ENSG00000102032.13","blue"
"ELF4|ENSG00000102034.18","cyan"
"SMARCA1|ENSG00000102038.16","saddlebrown"
"MTMR8|ENSG00000102043.16","grey"
"ASB9|ENSG00000102048.16","grey"
"ZC3H12B|ENSG00000102053.13","green"
"RBBP7|ENSG00000102054.18","darkred"
"KCND1|ENSG00000102057.10","grey"
"SLC25A14|ENSG00000102078.16","red"
"FMR1|ENSG00000102081.16","darkgreen"
"PIM2|ENSG00000102096.9","green"
"SCML2|ENSG00000102098.19","tan"
"SLC35A2|ENSG00000102100.16","lightcyan"
"PQBP1|ENSG00000102103.18","turquoise"
"PCSK1N|ENSG00000102109.9","turquoise"
"EMD|ENSG00000102119.12","turquoise"
"TAFAZZIN|ENSG00000102125.17","skyblue"
"RAB40AL|ENSG00000102128.8","grey"
"PGK1|ENSG00000102144.15","darkred"
"MAGT1|ENSG00000102158.22","yellow"
"SMS|ENSG00000102172.16","red"
"PHEX|ENSG00000102174.10","lightyellow"
"UBL4A|ENSG00000102178.13","turquoise"
"CD99L2|ENSG00000102181.21","turquoise"
"EEA1|ENSG00000102189.17","midnightblue"
"RP2|ENSG00000102218.6","pink"
"JADE3|ENSG00000102221.14","blue"
"CDK16|ENSG00000102225.17","turquoise"
"USP11|ENSG00000102226.10","turquoise"
"PCYT1B|ENSG00000102230.14","darkorange"
"BRS3|ENSG00000102239.5","green"
"HTATSF1|ENSG00000102241.12","darkgreen"
"TIMP1|ENSG00000102265.12","lightgreen"
"KLHL4|ENSG00000102271.14","blue"
"GABRE|ENSG00000102287.19","lightgreen"
"PCDH11X|ENSG00000102290.23","brown"
"FGD1|ENSG00000102302.8","turquoise"
"PIN4|ENSG00000102309.15","darkgreen"
"PORCN|ENSG00000102312.24","turquoise"
"MAGED2|ENSG00000102316.17","lightcyan"
"RBM3|ENSG00000102317.18","grey"
"KLF8|ENSG00000102349.18","brown"
"SRPX2|ENSG00000102359.9","saddlebrown"
"SYTL4|ENSG00000102362.16","pink"
"ZDHHC15|ENSG00000102383.14","red"
"CENPI|ENSG00000102384.14","midnightblue"
"DRP2|ENSG00000102385.13","turquoise"
"TAF7L|ENSG00000102387.16","tan"
"PBDC1|ENSG00000102390.11","grey"
"GLA|ENSG00000102393.14","pink"
"ARMCX3|ENSG00000102401.20","darkred"
"BEX4|ENSG00000102409.10","red"
"RUBCNL|ENSG00000102445.20","cyan"
"NALCN|ENSG00000102452.18","red"
"FGF14|ENSG00000102466.16","red"
"HTR2A|ENSG00000102468.11","darkorange"
"NDFIP2|ENSG00000102471.16","grey60"
"TNFSF13B|ENSG00000102524.12","pink"
"FNDC3A|ENSG00000102531.16","tan"
"CDADC1|ENSG00000102543.14","orange"
"CAB39L|ENSG00000102547.19","salmon"
"KLF5|ENSG00000102554.14","brown"
"STK24|ENSG00000102572.15","green"
"ACP5|ENSG00000102575.14","pink"
"DNAJC3|ENSG00000102580.15","pink"
"UGGT2|ENSG00000102595.21","greenyellow"
"ARHGEF7|ENSG00000102606.20","red"
"FGF9|ENSG00000102678.7","black"
"SGCG|ENSG00000102683.8","tan"
"PARP4|ENSG00000102699.6","yellow"
"SUPT20H|ENSG00000102710.21","yellow"
"MRPS31|ENSG00000102738.8","greenyellow"
"SLC25A15|ENSG00000102743.15","grey"
"KPNA3|ENSG00000102753.10","grey60"
"FLT1|ENSG00000102755.12","lightgreen"
"RGCC|ENSG00000102760.13","blue"
"VWA8|ENSG00000102763.18","grey"
"DGKH|ENSG00000102780.17","green"
"KATNAL1|ENSG00000102781.14","brown"
"INTS6|ENSG00000102786.15","yellow"
"DHRS12|ENSG00000102796.12","yellow"
"MEDAG|ENSG00000102802.10","lightgreen"
"TSC22D1|ENSG00000102804.15","grey60"
"CLN5|ENSG00000102805.16","pink"
"OLFM4|ENSG00000102837.7","grey"
"MSLN|ENSG00000102854.16","cyan"
"MGRN1|ENSG00000102858.13","turquoise"
"ZNF629|ENSG00000102870.6","magenta"
"TRADD|ENSG00000102871.16","grey"
"HSF4|ENSG00000102878.18","magenta"
"CORO1A|ENSG00000102879.17","turquoise"
"MAPK3|ENSG00000102882.12","turquoise"
"GDPD3|ENSG00000102886.15","grey"
"ELMO3|ENSG00000102890.16","royalblue"
"PHKB|ENSG00000102893.18","orange"
"LYRM1|ENSG00000102897.10","darkred"
"NUTF2|ENSG00000102898.13","turquoise"
"NUP93|ENSG00000102900.13","green"
"CENPT|ENSG00000102901.13","brown"
"TSNAXIP1|ENSG00000102904.15","purple"
"NFAT5|ENSG00000102908.23","black"
"LONP2|ENSG00000102910.14","saddlebrown"
"N4BP1|ENSG00000102921.8","darkgrey"
"CBLN1|ENSG00000102924.12","brown"
"ARL2BP|ENSG00000102931.8","lightcyan"
"PLLP|ENSG00000102934.10","blue"
"ZNF423|ENSG00000102935.12","grey"
"DHODH|ENSG00000102967.12","grey"
