Gene name	Gene ID	Chr	Start position	End position	Transcript type	Combined XCI status
GPRASP1	ENSG00000198932.8	X	101906294	101914011	protein_coding	inactive
GPRASP2	ENSG00000158301.14	X	101967104	101973607	protein_coding	inactive
BHLHB9	ENSG00000198908.7	X	101975616	102008468	protein_coding	inactive
LL0XNC01-237H1.3	ENSG00000234050.1	X	102192698	102195489	antisense	variable
NXF3	ENSG00000147206.12	X	102330738	102348157	protein_coding	variable
BEX4	ENSG00000102409.9	X	102470020	102472174	protein_coding	inactive
BEX2	ENSG00000133134.7	X	102564274	102565974	protein_coding	inactive
TCEAL7	ENSG00000182916.7	X	102585124	102587254	protein_coding	inactive
WBP5	ENSG00000185222.7	X	102611373	102613397	protein_coding	variable
NGFRAP1	ENSG00000166681.9	X	102631268	102633005	protein_coding	inactive
RAB40A	ENSG00000172476.3	X	102754678	102774417	protein_coding	inactive
TCEAL4	ENSG00000133142.13	X	102831159	102842657	protein_coding	inactive
TCEAL1	ENSG00000172465.9	X	102883632	102885881	protein_coding	inactive
MORF4L2	ENSG00000123562.12	X	102930424	102943086	protein_coding	inactive
MORF4L2-AS1	ENSG00000231154.1	X	102942212	102946700	antisense	variable
GLRA4	ENSG00000188828.7	X	102962152	102983583	protein_coding	variable
PLP1	ENSG00000123560.9	X	103028647	103047548	protein_coding	inactive
RAB9B	ENSG00000123570.3	X	103077252	103087158	protein_coding	inactive
TMSB15B	ENSG00000158427.10	X	103173479	103229570	protein_coding	inactive
SLC25A53	ENSG00000176274.6	X	103343898	103401708	protein_coding	inactive
ZCCHC18	ENSG00000166707.6	X	103356822	103360533	protein_coding	inactive
FAM199X	ENSG00000123575.8	X	103411301	103440583	protein_coding	inactive
IL1RAPL2	ENSG00000189108.8	X	103810996	105011822	protein_coding	variable
NRK	ENSG00000123572.12	X	105066536	105202602	protein_coding	inactive
MUM1L1	ENSG00000157502.8	X	105412298	105452949	protein_coding	inactive
CXorf57	ENSG00000147231.9	X	105855160	105922672	protein_coding	inactive
TBC1D8B	ENSG00000133138.15	X	106045910	106119375	protein_coding	inactive
MORC4	ENSG00000133131.10	X	106057101	106243474	protein_coding	inactive
RIPPLY1	ENSG00000147223.5	X	106143293	106146565	protein_coding	inactive
CLDN2	ENSG00000165376.6	X	106143394	106174091	protein_coding	inactive
RBM41	ENSG00000089682.12	X	106307650	106362057	protein_coding	inactive
NUP62CL	ENSG00000198088.6	X	106366657	106449670	protein_coding	variable
PIH1D3	ENSG00000080572.8	X	106449862	106487473	protein_coding	escape
FRMPD3	ENSG00000147234.6	X	106765680	106848481	protein_coding	variable
PRPS1	ENSG00000147224.6	X	106871737	106894256	protein_coding	inactive
TSC22D3	ENSG00000157514.12	X	106956451	107020572	protein_coding	inactive
MID2	ENSG00000080561.9	X	107068985	107170423	protein_coding	variable
RP6-191P20.4	ENSG00000236064.1	X	107137827	107179210	antisense	inactive
PSMD10	ENSG00000101843.14	X	107327437	107334848	protein_coding	inactive
ATG4A	ENSG00000101844.13	X	107334898	107397901	protein_coding	inactive
COL4A6	ENSG00000197565.11	X	107386780	107682727	protein_coding	variable
COL4A5	ENSG00000188153.8	X	107683074	107940775	protein_coding	inactive
GUCY2F	ENSG00000101890.4	X	108616135	108725301	protein_coding	variable
NXT2	ENSG00000101888.7	X	108779010	108787919	protein_coding	inactive
KCNE1L	ENSG00000176076.6	X	108866929	108868393	protein_coding	inactive
ACSL4	ENSG00000068366.15	X	108867473	108976632	protein_coding	inactive
TMEM164	ENSG00000157600.7	X	109245859	109425962	protein_coding	inactive
AMMECR1	ENSG00000101935.5	X	109437414	109683461	protein_coding	inactive
RGAG1	ENSG00000243978.4	X	109602044	109699562	protein_coding	variable
CHRDL1	ENSG00000101938.10	X	109917084	110039286	protein_coding	inactive
PAK3	ENSG00000077264.10	X	110187513	110470589	protein_coding	inactive
CAPN6	ENSG00000077274.7	X	110488331	110513751	protein_coding	inactive
DCX	ENSG00000077279.12	X	110537007	110655603	protein_coding	inactive
ALG13	ENSG00000101901.6	X	110909043	111003877	protein_coding	variable
TRPC5	ENSG00000072315.3	X	111017543	111326004	protein_coding	variable
ZCCHC16	ENSG00000187823.2	X	111697727	111700473	protein_coding	escape
LHFPL1	ENSG00000182508.9	X	111873876	111923375	protein_coding	inactive
AMOT	ENSG00000126016.9	X	112017731	112084043	protein_coding	inactive
HTR2C	ENSG00000147246.5	X	113818551	114144624	protein_coding	escape
LRCH2	ENSG00000130224.10	X	114345185	114468635	protein_coding	inactive
PLS3	ENSG00000102024.13	X	114795501	114885181	protein_coding	variable
AGTR2	ENSG00000180772.6	X	115301975	115306225	protein_coding	inactive
SLC6A14	ENSG00000087916.7	X	115567790	115592625	protein_coding	inactive
KLHL13	ENSG00000003096.9	X	117031776	117251303	protein_coding	inactive
WDR44	ENSG00000131725.9	X	117480036	117583924	protein_coding	inactive
DOCK11	ENSG00000147251.11	X	117629861	117820126	protein_coding	inactive
IL13RA1	ENSG00000131724.6	X	117861535	117928502	protein_coding	inactive
LONRF3	ENSG00000175556.12	X	118108581	118152318	protein_coding	inactive
KIAA1210	ENSG00000250423.2	X	118212598	118284542	protein_coding	variable
PGRMC1	ENSG00000101856.8	X	118370216	118378429	protein_coding	inactive
SLC25A43	ENSG00000077713.14	X	118533023	118588441	protein_coding	inactive
SLC25A5-AS1	ENSG00000224281.4	X	118599997	118603061	processed_transcript	inactive
SLC25A5	ENSG00000005022.5	X	118602363	118605282	protein_coding	inactive
CXorf56	ENSG00000018610.9	X	118672112	118699397	protein_coding	inactive
UBE2A	ENSG00000077721.11	X	118708501	118718381	protein_coding	inactive
NKRF	ENSG00000186416.8	X	118722300	118739858	protein_coding	inactive
6-Sep	ENSG00000125354.18	X	118749687	118827333	protein_coding	inactive
RPL39	ENSG00000198918.7	X	118920467	118925606	protein_coding	inactive
UPF3B	ENSG00000125351.6	X	118967985	118986961	protein_coding	inactive
RNF113A	ENSG00000125352.4	X	119004497	119005791	protein_coding	inactive
NDUFA1	ENSG00000125356.6	X	119005450	119010625	protein_coding	inactive
AKAP14	ENSG00000186471.8	X	119029800	119054679	protein_coding	variable
NKAP	ENSG00000101882.5	X	119059014	119077735	protein_coding	inactive
NKAPP1	ENSG00000233382.5	X	119254863	119379122	pseudogene	inactive
RHOXF2	ENSG00000131721.4	X	119292467	119297945	protein_coding	inactive
ZBTB33	ENSG00000177485.6	X	119384607	119392253	protein_coding	inactive
TMEM255A	ENSG00000125355.11	X	119392505	119445411	protein_coding	inactive
ATP1B4	ENSG00000101892.7	X	119495967	119516226	protein_coding	inactive
LAMP2	ENSG00000005893.11	X	119561682	119603220	protein_coding	inactive
CUL4B	ENSG00000158290.12	X	119658464	119709649	protein_coding	inactive
MCTS1	ENSG00000232119.3	X	119727865	119754929	protein_coding	inactive
C1GALT1C1	ENSG00000171155.7	X	119759648	119764005	protein_coding	inactive
GLUD2	ENSG00000182890.3	X	120181462	120183794	protein_coding	inactive
GRIA3	ENSG00000125675.13	X	122318006	122624766	protein_coding	variable
THOC2	ENSG00000125676.15	X	122734412	122866906	protein_coding	inactive
XIAP	ENSG00000101966.8	X	122993574	123047829	protein_coding	inactive
STAG2	ENSG00000101972.14	X	123094062	123556514	protein_coding	inactive
SH2D1A	ENSG00000183918.10	X	123480194	123507005	protein_coding	variable
TENM1	ENSG00000009694.9	X	123509753	124097666	protein_coding	inactive
CXorf64	ENSG00000183631.4	X	125953747	125955769	protein_coding	escape
SMARCA1	ENSG00000102038.11	X	128580480	128657477	protein_coding	inactive
OCRL	ENSG00000122126.11	X	128673826	128726538	protein_coding	inactive
APLN	ENSG00000171388.9	X	128779240	128788933	protein_coding	inactive
XPNPEP2	ENSG00000122121.6	X	128872950	128903514	protein_coding	inactive
SASH3	ENSG00000122122.9	X	128913955	128929177	protein_coding	inactive
ZDHHC9	ENSG00000188706.8	X	128937264	128977885	protein_coding	inactive
UTP14A	ENSG00000156697.8	X	129040097	129063737	protein_coding	inactive
BCORL1	ENSG00000085185.11	X	129115083	129192058	protein_coding	inactive
ELF4	ENSG00000102034.12	X	129198849	129244691	protein_coding	inactive
AIFM1	ENSG00000156709.9	X	129263337	129299861	protein_coding	inactive
RAB33A	ENSG00000134594.4	X	129305623	129318844	protein_coding	inactive
ZNF280C	ENSG00000056277.11	X	129336685	129402873	protein_coding	variable
SLC25A14	ENSG00000102078.11	X	129473874	129507335	protein_coding	inactive
RBMX2	ENSG00000134597.9	X	129535943	129547317	protein_coding	inactive
ENOX2	ENSG00000165675.12	X	129757350	130037208	protein_coding	inactive
ARHGAP36	ENSG00000147256.6	X	130192216	130223857	protein_coding	inactive
IGSF1	ENSG00000147255.13	X	130407480	130533677	protein_coding	inactive
RP11-453F18__B.1	ENSG00000213468.3	X	130836678	130964671	lincRNA	variable
MST4	ENSG00000134602.11	X	131157293	131209971	protein_coding	inactive
FRMD7	ENSG00000165694.5	X	131211021	131262048	protein_coding	variable
RAP2C	ENSG00000123728.5	X	131337053	131353471	protein_coding	inactive
RAP2C-AS1	ENSG00000232160.2	X	131351175	131566890	antisense	inactive
MBNL3	ENSG00000076770.10	X	131503345	131623996	protein_coding	inactive
HS6ST2	ENSG00000171004.13	X	131760044	132095423	protein_coding	escape
GPC4	ENSG00000076716.7	X	132434131	132549518	protein_coding	inactive
GPC3	ENSG00000147257.9	X	132669773	133119922	protein_coding	inactive
PHF6	ENSG00000156531.12	X	133507283	133562820	protein_coding	inactive
HPRT1	ENSG00000165704.10	X	133594183	133654543	protein_coding	inactive
MIR503HG	ENSG00000223749.3	X	133677367	133680741	lincRNA	inactive
PLAC1	ENSG00000170965.5	X	133699868	133898352	protein_coding	variable
FAM122B	ENSG00000156504.12	X	133903596	133931262	protein_coding	variable
FAM122C	ENSG00000156500.10	X	133930819	133988640	protein_coding	inactive
MOSPD1	ENSG00000101928.8	X	134021656	134049297	protein_coding	inactive
SMIM10	ENSG00000184785.4	X	134124968	134126501	protein_coding	inactive
FAM127A	ENSG00000134590.9	X	134166333	134167576	protein_coding	inactive
FAM127B	ENSG00000203950.6	X	134184962	134186226	protein_coding	inactive
ZNF75D	ENSG00000186376.10	X	134382867	134478012	protein_coding	inactive
ZNF449	ENSG00000173275.8	X	134478721	134497077	protein_coding	inactive
DDX26B	ENSG00000165359.10	X	134654584	134716435	protein_coding	inactive
MMGT1	ENSG00000169446.4	X	135044229	135056222	protein_coding	inactive
SLC9A6	ENSG00000198689.5	X	135067598	135129423	protein_coding	inactive
FHL1	ENSG00000022267.12	X	135229559	135293518	protein_coding	inactive
MAP7D3	ENSG00000129680.11	X	135295381	135338641	protein_coding	inactive
GPR112	ENSG00000156920.6	X	135383122	135519215	protein_coding	escape
BRS3	ENSG00000102239.4	X	135570046	135575939	protein_coding	variable
HTATSF1	ENSG00000102241.7	X	135579238	135594505	protein_coding	inactive
VGLL1	ENSG00000102243.8	X	135614311	135638966	protein_coding	escape
CD40LG	ENSG00000102245.3	X	135730352	135742549	protein_coding	variable
ARHGEF6	ENSG00000129675.11	X	135747706	135864247	protein_coding	inactive
RP11-1114A5.5	ENSG00000225400.1	X	135929543	135930193	pseudogene	inactive
RBMX	ENSG00000147274.10	X	135930163	135962923	protein_coding	inactive
FGF13	ENSG00000129682.9	X	137713735	138304939	protein_coding	variable
F9	ENSG00000101981.6	X	138612917	138645617	protein_coding	variable
MCF2	ENSG00000101977.15	X	138663929	138790386	protein_coding	inactive
ATP11C	ENSG00000101974.10	X	138808505	139027435	protein_coding	inactive
CXorf66	ENSG00000203933.2	X	139037884	139047679	protein_coding	inactive
RP11-364B14.3	ENSG00000230707.1	X	139173902	139174720	pseudogene	inactive
CDR1	ENSG00000184258.5	X	139865425	139866723	protein_coding	inactive
LDOC1	ENSG00000182195.6	X	140269934	140271310	protein_coding	inactive
MAGEC3	ENSG00000165509.9	X	140926102	140985618	protein_coding	escape
SLITRK2	ENSG00000185985.7	X	144899350	144907360	protein_coding	inactive
FMR1-AS1	ENSG00000268066.1	X	146990949	146993335	processed_transcript	inactive
FMR1	ENSG00000102081.9	X	146993469	147032645	protein_coding	inactive
FMR1NB	ENSG00000176988.4	X	147062849	147108187	protein_coding	variable
AFF2	ENSG00000155966.9	X	147582139	148082193	protein_coding	variable
IDS	ENSG00000010404.13	X	148558521	148615470	protein_coding	inactive
LINC00893	ENSG00000241769.3	X	148609130	148622504	antisense	variable
CXorf40A	ENSG00000197620.6	X	148621900	148632055	protein_coding	inactive
RP5-937E21.8	ENSG00000225261.1	X	148629755	148631380	antisense	inactive
TMEM185A	ENSG00000155984.10	X	148678216	148713568	protein_coding	inactive
MAGEA11	ENSG00000185247.10	X	148769894	148798926	protein_coding	variable
MAGEA8	ENSG00000156009.5	X	149009941	149014609	protein_coding	variable
CXorf40B	ENSG00000197021.4	X	149097745	149107029	protein_coding	inactive
LINC00894	ENSG00000235703.1	X	149106846	149392815	antisense	inactive
MAMLD1	ENSG00000013619.9	X	149529689	149682448	protein_coding	inactive
MTM1	ENSG00000171100.10	X	149737069	149841795	protein_coding	inactive
MTMR1	ENSG00000063601.12	X	149861435	149933576	protein_coding	inactive
CD99L2	ENSG00000102181.15	X	149934810	150067289	protein_coding	inactive
HMGB3	ENSG00000029993.10	X	150148982	150159248	protein_coding	inactive
VMA21	ENSG00000160131.9	X	150564987	150577836	protein_coding	inactive
PASD1	ENSG00000166049.10	X	150732094	150845211	protein_coding	escape
CNGA2	ENSG00000183862.5	X	150906923	150913776	protein_coding	escape
MAGEA4	ENSG00000147381.7	X	151080981	151093642	protein_coding	escape
GABRE	ENSG00000102287.12	X	151121596	151143152	protein_coding	variable
GABRA3	ENSG00000011677.8	X	151334706	151619830	protein_coding	variable
MAGEA12	ENSG00000213401.4	X	151899293	151903184	protein_coding	escape
CSAG1	ENSG00000198930.8	X	151903228	151909518	protein_coding	inactive
CETN2	ENSG00000147400.8	X	151995517	151999321	protein_coding	inactive
NSDHL	ENSG00000147383.6	X	151999511	152038273	protein_coding	inactive
ZNF185	ENSG00000147394.14	X	152082986	152142024	protein_coding	inactive
PNMA5	ENSG00000198883.7	X	152157368	152162671	protein_coding	variable
PNMA3	ENSG00000183837.8	X	152224766	152228827	protein_coding	variable
PNMA6A	ENSG00000224201.3	X	152240839	152340864	protein_coding	inactive
ZNF275	ENSG00000063587.12	X	152599613	152625568	protein_coding	inactive
TREX2	ENSG00000183479.8	X	152710178	152736045	protein_coding	inactive
HAUS7	ENSG00000213397.6	X	152713124	152760978	protein_coding	inactive
BGN	ENSG00000182492.11	X	152760397	152775012	protein_coding	inactive
ATP2B3	ENSG00000067842.13	X	152783134	152848397	protein_coding	inactive
FAM58A	ENSG00000147382.14	X	152853377	152865500	protein_coding	inactive
RP11-66N11.8	ENSG00000260081.1	X	152864795	152869808	antisense	inactive
DUSP9	ENSG00000130829.13	X	152907946	152916781	protein_coding	inactive
PNCK	ENSG00000130822.11	X	152935185	152954465	protein_coding	variable
BCAP31	ENSG00000185825.11	X	152965947	152990152	protein_coding	inactive
ABCD1	ENSG00000101986.8	X	152990323	153010216	protein_coding	inactive
PLXNB3	ENSG00000198753.7	X	153029651	153044801	protein_coding	escape
SRPK3	ENSG00000184343.6	X	153041867	153051187	protein_coding	variable
IDH3G	ENSG00000067829.14	X	153051221	153059978	protein_coding	inactive
SSR4	ENSG00000180879.9	X	153058971	153063960	protein_coding	inactive
PDZD4	ENSG00000067840.8	X	153067621	153096020	protein_coding	inactive
L1CAM	ENSG00000198910.8	X	153126969	153174677	protein_coding	variable
LCA10	ENSG00000196987.2	X	153146127	153154444	protein_coding	inactive
AVPR2	ENSG00000126895.9	X	153167985	153172620	protein_coding	variable
ARHGAP4	ENSG00000089820.11	X	153172821	153200452	protein_coding	variable
NAA10	ENSG00000102030.11	X	153194695	153200676	protein_coding	variable
RENBP	ENSG00000102032.8	X	153200716	153210232	protein_coding	escape
HCFC1	ENSG00000172534.9	X	153213004	153237258	protein_coding	variable
TMEM187	ENSG00000177854.7	X	153237778	153248646	protein_coding	inactive
IRAK1	ENSG00000184216.7	X	153275951	153285431	protein_coding	inactive
MECP2	ENSG00000169057.15	X	153287024	153363212	protein_coding	inactive
TKTL1	ENSG00000007350.12	X	153524024	153558700	protein_coding	inactive
FLNA	ENSG00000196924.10	X	153576892	153603006	protein_coding	inactive
RPL10	ENSG00000147403.12	X	153618315	153637504	protein_coding	inactive
DNASE1L1	ENSG00000013563.9	X	153629579	153640449	protein_coding	inactive
TAZ	ENSG00000102125.11	X	153639854	153650065	protein_coding	inactive
ATP6AP1	ENSG00000071553.12	X	153656978	153664862	protein_coding	inactive
GDI1	ENSG00000203879.7	X	153665266	153671814	protein_coding	inactive
FAM50A	ENSG00000071859.10	X	153672473	153679002	protein_coding	inactive
PLXNA3	ENSG00000130827.5	X	153686621	153701989	protein_coding	inactive
LAGE3	ENSG00000196976.5	X	153706028	153707596	protein_coding	inactive
UBL4A	ENSG00000102178.8	X	153712056	153715009	protein_coding	inactive
SLC10A3	ENSG00000126903.11	X	153715645	153719016	protein_coding	inactive
FAM3A	ENSG00000071889.12	X	153733350	153744566	protein_coding	inactive
G6PD	ENSG00000160211.11	X	153759606	153775787	protein_coding	inactive
IKBKG	ENSG00000073009.8	X	153769414	153796782	protein_coding	escape
GAB3	ENSG00000160219.7	X	153903529	153979858	protein_coding	inactive
DKC1	ENSG00000130826.11	X	153991031	154005964	protein_coding	inactive
MPP1	ENSG00000130830.10	X	154006959	154049282	protein_coding	inactive
F8	ENSG00000185010.9	X	154064063	154255215	protein_coding	inactive
F8A1	ENSG00000197932.3	X	154114635	154116335	protein_coding	inactive
FUNDC2	ENSG00000165775.13	X	154254255	154288578	protein_coding	inactive
CMC4	ENSG00000182712.11	X	154289897	154299637	protein_coding	inactive
MTCP1	ENSG00000214827.5	X	154289897	154376212	protein_coding	inactive
BRCC3	ENSG00000185515.10	X	154299695	154351349	protein_coding	inactive
VBP1	ENSG00000155959.6	X	154425284	154468098	protein_coding	inactive
RAB39B	ENSG00000155961.4	X	154487526	154493874	protein_coding	inactive
CLIC2	ENSG00000155962.8	X	154505500	154563966	protein_coding	inactive
TMLHE-AS1	ENSG00000224533.3	X	154695631	154841277	antisense	inactive
TMLHE	ENSG00000185973.6	X	154719776	154899605	protein_coding	inactive
SPRY3	ENSG00000168939.6	X	154997474	155012121	protein_coding	inactive
VAMP7	ENSG00000124333.10	X	155110956	155173433	protein_coding	inactive
IL9R	ENSG00000124334.12	X	155227246	155240482	protein_coding	variable
