Feature	seqnames	start	end	width	gencodeID	ensemblID	Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	SE	B	Type	Direction	Tissue	Chrom_Type
chrM:2494-2636:+	chrM	2494	2636	143				4.02791308183964	-3.72897378811094	4.78460771387346	2.49677593730059e-06	0.0151328697854097	0.163082509364689	1.63587050741352	Junction	1.0	Hippocampus	Mitochondria
chr21:8216685-8260913:-	chr21	8216685	8260913	44229				6.79685124176572	-0.322327629740078	4.77220036680319	2.64595550375484e-06	0.0154840403681284	0.215760976419015	4.39068322584067	Junction	1.0	Hippocampus	Autosome
chr21:8400640-8444856:-	chr21	8400640	8444856	44217				-3.22837132886866	-3.90656688866091	-4.74911963354075	2.94662825360881e-06	0.0166687813678397	0.235791112268417	1.21193051724171	Junction	-1.0	Hippocampus	Autosome
chr21:8443091-8445524:-	chr21	8443091	8445524	2434				7.54364743701154	-2.63144400673031	4.6948289432937	3.78922152522496e-06	0.0203624950220126	0.213768947295444	2.81502579778775	Junction	1.0	Hippocampus	Autosome
chr21:8437302-8438034:+	chr21	8437302	8438034	733				3.34527103805677	-3.68035991906245	4.69171502443519	3.84400423972182e-06	0.0203624950220126	0.189863220728726	1.50812663835404	Junction	1.0	Hippocampus	Autosome
chr21:8216481-8216610:+	chr21	8216481	8216610	130				-4.32520457452964	-3.67432463481726	-4.67763082419509	4.10145179384259e-06	0.0203624950220126	0.24389633463032	1.53425724333187	Junction	-1.0	Hippocampus	Autosome
chr21:8437115-8438633:+	chr21	8437115	8438633	1519				-3.20932356235279	-3.35165352787375	-4.6756709935176	4.13856512587721e-06	0.0203624950220126	0.169818884848291	1.84291159376683	Junction	-1.0	Hippocampus	Autosome
chr21:8393088-8393974:+	chr21	8393088	8393974	887				3.06359491790115	-3.74586767857283	4.66519967629569	4.34240105163672e-06	0.0203624950220126	0.171903722342068	0.963458992153319	Junction	1.0	Hippocampus	Autosome
chr21:8208719-8217077:+	chr21	8208719	8217077	8359				3.02474829048565	-3.32420287850764	4.66502719144231	4.3458382040607e-06	0.0203624950220126	0.136530673852446	1.57059812901724	Junction	1.0	Hippocampus	Autosome
chr21:8399360-8399459:-	chr21	8399360	8399459	100				-4.22221253268645	-2.71762628680682	-4.65286462385503	4.59491714192066e-06	0.0203624950220126	0.144242008351869	2.91397149813143	Junction	-1.0	Hippocampus	Autosome
chr21:8216493-8216626:+	chr21	8216493	8216626	134				7.08014486575067	-1.66163615123019	4.64894889265975	4.67798987396179e-06	0.0203624950220126	0.159785365439211	3.59954430904779	Junction	1.0	Hippocampus	Autosome
chr21:8392913-8437007:+	chr21	8392913	8437007	44095				-4.70046157901315	-3.15221799915395	-4.64888014891588	4.67946110566146e-06	0.0203624950220126	0.124648903680721	2.47942783736719	Junction	-1.0	Hippocampus	Autosome
chr21:8442124-8463184:+	chr21	8442124	8463184	21061				2.64418939758239	-2.75536190191346	4.58063101631542	6.38216643451196e-06	0.0270729601544968	0.165365653472592	3.06347972912847	Junction	1.0	Hippocampus	Autosome
chr21:8399351-8442729:-	chr21	8399351	8442729	43379				3.69038475622463	-3.48216968540901	4.57520172118173	6.54063395342778e-06	0.0270729601544968	0.157349424929486	1.86781212076938	Junction	1.0	Hippocampus	Autosome
chr21:8400700-8444934:-	chr21	8400700	8444934	44235				-2.82476246130215	-3.49727115189956	-4.5688160912612	6.73185342975479e-06	0.0272010154762713	0.130284516275921	1.51298505227661	Junction	-1.0	Hippocampus	Autosome
chr21:8216795-8260376:-	chr21	8216795	8260376	43582				-3.18409368451966	-3.50337946778584	-4.50941881036406	8.78743523178936e-06	0.0346811458344483	0.184490698964574	1.10952197905384	Junction	-1.0	Hippocampus	Autosome
chr21:8216484-8260722:+	chr21	8216484	8260722	44239				-5.21027375368164	-3.02334912452602	-4.49718401987997	9.27997542889178e-06	0.0357926543207031	0.179280830281873	1.93430903570088	Junction	-1.0	Hippocampus	Autosome
chr15:50496085-50497088:+	chr15	50496085	50497088	1004	ENSG00000223972.5	ENSG00000223972	DDX11L1	-0.303009883646005	2.29788376200404	-4.47412079166309	1.02813752691099e-05	0.0383566317588882	0.13883745395695	3.04912546627826	Junction	-1.0	Hippocampus	Autosome
chr21:8216774-8260877:+	chr21	8216774	8260877	44104				-4.63496667407464	-3.18127503322884	-4.47160294418947	1.0396772442556e-05	0.0383566317588882	0.14064888382798	1.29566741741277	Junction	-1.0	Hippocampus	Autosome
chr21:8214256-8258481:+	chr21	8214256	8258481	44226				-4.00288919686219	-3.538610211278	-4.42422948081644	1.28140575429306e-05	0.0456585988064504	0.171906222138663	0.794197205017892	Junction	-1.0	Hippocampus	Autosome
chr21:8214185-8258408:+	chr21	8214185	8258408	44224				6.57599873879742	-1.78326536082062	4.41903745467536	1.31095841419745e-05	0.0456585988064504	0.217938949785826	2.61690642669558	Junction	1.0	Hippocampus	Autosome
chr21:8219066-8260388:+	chr21	8219066	8260388	41323				4.72749041946463	-3.49694577063297	4.41776258360301	1.31831411875531e-05	0.0456585988064504	0.181216948305784	1.18940807063359	Junction	1.0	Hippocampus	Autosome
chr16:55489825-55491800:+	chr16	55489825	55491800	1976	ENSG00000223972.5	ENSG00000223972	DDX11L1	-0.965455300373225	-1.48633185487324	-4.41131280558873	1.35613786460893e-05	0.0460292177178376	0.171077868215864	2.34570232413408	Junction	-1.0	Hippocampus	Autosome
